"movie_name";"video_name";"video_id";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26"
"Cinderella";"Disney's Cinderella Official US Trailer";"20DF6U1HcGQ";2015;7;2.35;"Drama|Family|Fantasy|Romance";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0
"San Andreas";"San Andreas - Official Trailer 2 [HD]";"23VflsU3kZE";2015;6.1;2.35;"Action|Adventure|Drama|Thriller";1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"Magnolia";"Magnolia (1999) Teaser Trailer - Paul Thomas Anderson Movie";"2ahUItMF3oE";1999;8;2.35;"Drama";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dracula Untold";"Dracula Untold - Official Trailer (HD)";"_2aWqecTTuE";2014;6.3;2.35;"Action|Drama|Fantasy|Horror|War";1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0
"How to Train Your Dragon";"How To Train Your Dragon 2 Official Trailer #1 (2014) - Animation Sequel HD";"2BP38770KNo";2010;8.2;2.35;"Adventure|Animation|Family|Fantasy";0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Titanic";"Titanic - Official Trailer (HD)";"2e-eXJ6HgkQ";1997;7.7;2.35;"Drama|Romance";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"The Blues Brothers";"The Blues Brothers Official Trailer #1 - Dan Aykroyd Movie (1980) HD";"2HCR4c1zPyk";1980;7.9;1.85;"Action|Comedy|Crime|Music";1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Goodfellas";"Goodfellas (1990) Official Trailer #1 - Martin Scorsese Movie";"2ilzidi_J8Q";1990;8.7;1.85;"Biography|Crime|Drama";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Looper";"LOOPER - Official Trailer - In Theaters 9/28";"2iQuhsmtfHw";2012;7.4;2.35;"Action|Crime|Drama|Sci-Fi|Thriller";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"Mud";"Mud Movie Official Trailer #1 (2013) - Matthew McConaughey Movie HD";"2m9IFlz2iYo";2012;7.4;2.35;"Drama";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"This Is 40";"This Is 40 - Trailer";"2NvTjCELbrk";2012;6.2;2.35;"Comedy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gamer";"Nerve (2016 Movie) Official Trailer – ‘Watcher or Player?’";"2PR9MOPTI7g";2009;5.8;1.85;"Action|Sci-Fi|Thriller";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"25th Hour";"25th Hour Official Trailer #1 (2002) - Edward Norton Movie HD";"2qZVGJd6-rI";2002;7.7;2.35;"Drama";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ender's Game";"Ender's Game Official Trailer #2 (2013) - Asa Butterfield, Harrison Ford Movie HD";"2UNWLgY-wuo";2013;6.7;2.35;"Action|Sci-Fi";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Being John Malkovich";"Being John Malkovich Official Trailer #1 - John Cusack Movie (1999) HD";"2UuRFr0GnHM";1999;7.8;1.85;"Comedy|Drama|Fantasy";0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"Children of Men";"Children of Men Official Trailer #1 - Julianne Moore, Clive Owen Movie (2006) HD";"2VT2apoX90o";2006;7.9;1.85;"Drama|Sci-Fi|Thriller";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"Finding Nemo";"Finding Nemo 3D Official Trailer #1 (2012) Pixar Movie HD";"2zLkasScy7A";2003;8.2;1.85;"Adventure|Animation|Comedy|Family";0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"How to Lose a Guy in 10 Days";"How to Lose a Guy in 10 Days (2003) Official Trailer #1 - Kate Hudson Movie HD";"2ZMGk_Ml1fc";2003;6.4;1.85;"Comedy|Romance";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"300: Rise of an Empire";"300: Rise of an Empire - Official Trailer 1 [HD]";"2zqy21Z29ps";2014;6.2;2.35;"Action|Drama|Fantasy|War";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
"Chocolat";"Chocolat (2000) Official Trailer #1 - Juliette Binoche Movie HD";"32x33l2sLe8";2000;7.3;1.85;"Drama|Romance";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"The Untouchables";"The Intouchables Official Trailer #1 (2012) HD Movie";"34WIbmXkewU";1987;7.9;2.35;"Crime|Drama|Thriller";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"The Time Machine";"The Time Machine Official Trailer #1 - Rod Taylor Movie (1960) HD";"36UQCZEsY9g";2002;5.9;2.35;"Action|Adventure|Sci-Fi";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"No Country for Old Men";"No Country For Old Men (2007) Official Trailer - Tommy Lee Jones, Javier Bardem Movie HD";"38A__WT3-o0";2007;8.1;2.35;"Crime|Drama|Thriller";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"The Time Traveler's Wife";"The Time Traveler's Wife (2009) Official Trailer - Rachel McAdams Movie HD";"3_8WZxHScMk";2009;7.1;2.35;"Drama|Fantasy|Romance|Sci-Fi";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
"Dazed and Confused";"Dazed and Confused (1993) - Official Trailer - Matthew McConaughey Movie HD";"3aQuvPlcB-8";1993;7.7;1.85;"Comedy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"He's Just Not That Into You";"He's Just Not That Into You (2009) Theatrical Trailer - Jennifer Aniston Movie HD";"3_DHhPckJNo";2009;6.4;2.35;"Comedy|Drama|Romance";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Office Space";"Office Space | #TBT Trailer | 20th Century FOX";"3_fG_zLbBeU";1999;7.8;1.85;"Comedy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Burn After Reading";"Burn After Reading - Trailer";"3FO8V8Gp8_k";2008;7;1.85;"Comedy|Drama";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Teenage Mutant Ninja Turtles";"Teenage Mutant Ninja Turtles Official Trailer #1 (2014) - Megan Fox, Will Arnett Movie HD";"_3Hf8rFPjyg";2014;5.9;2.35;"Action|Adventure|Comedy|Sci-Fi";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"The Hunger Games: Mockingjay - Part 1";"The Hunger Games: Mockingjay - Part 1 Official Trailer #1 (2014) - THG Movie HD";"3PkkHsuMrho";2014;6.7;2.35;"Adventure|Sci-Fi|Thriller";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"The Hunger Games: Mockingjay - Part 2";"The Hunger Games: Mockingjay - Part 1 Official Trailer #1 (2014) - THG Movie HD";"3PkkHsuMrho";2015;6.6;2.35;"Adventure|Sci-Fi";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"School of Rock";"School of Rock - Trailer";"3PsUJFEBC74";2003;7.1;1.85;"Comedy|Music";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"American Beauty";"American Beauty - Trailer";"3ycmmJ6rxA8";1999;8.4;2.35;"Drama";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"The Mummy Returns";"The Mummy Returns Official Trailer #1 - Brendan Fraser Movie (2001) HD";"3yXjs7BUKYc";2001;6.3;2.35;"Action|Adventure|Fantasy|Thriller";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"Face/Off";"Face/Off - Trailer";"3zebJ_NoduE";1997;7.3;2.35;"Action|Crime|Sci-Fi|Thriller";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"The Change-Up";"The Change-Up (2011) Movie Trailer HD";"43Qc70ZeMFw";2011;6.4;2.35;"Comedy|Fantasy";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"The Next Three Days";"The Next Three Days (2010) - 'Escape' Teaser";"47wv625HFdU";2010;7.4;2.35;"Crime|Drama|Romance|Thriller";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
"Hotel Rwanda";"Hotel Rwanda Official Trailer #1 - Don Cheadle Movie (2004) HD";"4dd8rX5Dy_Q";2004;8.1;2.35;"Drama|History|War";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
"Blue Jasmine";"Blue Jasmine Official Trailer #1 (2013) - Woody Allen Movie HD";"4_f--aY0poI";2013;7.3;2.35;"Drama";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cold Mountain";"Cold Mountain (2003) Official Trailer # 1 - Jude Law";"4Fi8j_1An1I";2003;7.2;2.35;"Adventure|Drama|History|Romance|War";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0
"Ice Age: The Meltdown";"ICE AGE 3D | Trailer";"4FihSyAikRY";2006;6.9;1.85;"Action|Adventure|Animation|Comedy|Family|Fantasy";1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Enemy at the Gates";"Enemy at the Gates (2001) Official Trailer #1 - Jude Law Movie HD";"4O-sMh_DO6I";2001;7.6;2.35;"Drama|History|War";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
"Moneyball";"Moneyball (2011) Movie Trailer - HD - Brad Pitt";"-4QPVo0UIzc";2011;7.6;1.85;"Biography|Drama|Sport";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Batman & Robin";"Batman & Robin (1997) Official Trailer #1 - George Clooney Movie HD";"4RBXypX4qWI";1997;3.7;1.85;"Action";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Contagion";"Contagion (2011) Official Exclusive 1080p HD Trailer";"4sYSyuuLk5g";2011;6.6;1.85;"Drama|Thriller";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"Cast Away";"Cast Away | #TBT Trailer | 20th Century FOX";"4tVklCz2jcI";2000;7.7;1.85;"Adventure|Drama|Romance";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Rush";"Rush - Theatrical Trailer";"4XA73ni9eVs";2013;8.1;2.35;"Action|Biography|Drama|Sport";1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"The Expendables 3";"The Expendables 3 Official Trailer #1 (2014) - Sylvester Stallone Movie HD";"4xD0junWlFc";2014;6.1;2.35;"Action|Adventure|Thriller";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Alien";"Alien Abduction Official Trailer #1 (2014) - Found Footage Sci-Fi Horror Movie HD";"4zLS4lL3JDQ";1979;8.5;2.35;"Horror|Sci-Fi";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"Puss in Boots";"Puss in Boots (2011) NEW Official Long Trailer - HD";"55gmAtakjJ4";2011;6.7;2.35;"Action|Adventure|Animation|Comedy|Family|Fantasy";1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"American Sniper";"American Sniper - Official Trailer 2 [HD]";"5bP1f_1o-zo";2014;7.3;2.35;"Action|Biography|Drama|History|Thriller|War";1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0
"The Italian Job";"The Italian Job (2003) - Trailer";"5Eyw-Qiwpj0";2003;7;2.35;"Action|Crime|Thriller";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"The Imitation Game";"The Imitation Game Official Trailer #3 (2014) - Benedict Cumberbatch Movie HD";"5gcyB72nFmc";2014;8.1;2.35;"Biography|Drama|Thriller|War";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
"Pacific Rim";"Pacific Rim - Official Main Trailer [HD]";"5guMumPFBag";2013;7;1.85;"Action|Adventure|Sci-Fi";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Black Swan";"BLACK SWAN - Official HD trailer";"5jaI1XOB-bs";2010;8;2.35;"Drama|Thriller";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"Michael Clayton";"Michael Clayton (2007) Official Trailer - George Clooney, Tilda Swinton Movie HD";"5kJRYBhG43Q";2007;7.3;2.35;"Crime|Drama|Mystery|Thriller";0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
"The Number 23";"WONDER WOMAN Comic-Con Trailer";"5lGoQhFb4NM";2007;6.4;2.35;"Mystery|Thriller";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"Oz the Great and Powerful";"Oz The Great and Powerful Trailer 2";"5NdeuYgRoTI";2013;6.4;2.35;"Adventure|Family|Fantasy";0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Million Dollar Baby";"Million Dollar Baby (2004) Official Trailer - Hilary Swank, Clint Eastwood Movie HD";"5_RsHRmIRBY";2004;8.1;2.35;"Drama|Sport";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Star Wars: Episode III - Revenge of the Sith";"Star Wars Episode III: Revenge of the Sith - Trailer";"5UnjrG_N8hU";2005;7.6;2.35;"Action|Adventure|Fantasy|Sci-Fi";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"Austin Powers in Goldmember";"Austin Powers: International Man of Mystery (1997) Official Trailer - Mike Myers Comedy HD";"5vsANcS4Ml8";2002;6.2;2.35;"Action|Comedy|Crime";1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Furious 7";"Furious 7 Official Trailer #1 (2015) - Vin Diesel, Paul Walker Movie HD";"5Yab0sXGEjg";2015;7.2;2.35;"Action|Crime|Thriller";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Pulp Fiction";"Pulp Fiction (1994) Official Trailer - Samuel L. Jackson, John Travolta Movie HD";"5ZAhzsi1ybM";1994;8.9;2.35;"Crime|Drama";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Everest";"Everest - Official Trailer (HD)";"5ZQVpPiOji0";2015;7.1;2.35;"Adventure|Biography|Drama|History|Sport|Thriller";0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0
"Chicken Run";"Chicken Run - Trailer";"6028JLTtxz8";2000;7;1.85;"Adventure|Animation|Comedy|Drama|Family";0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"The Wrestler";"The Wrestler - Official Trailer";"61-GFxjTyV0";2008;7.9;2.35;"Drama|Sport";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Don Jon";"Don Jon Official Trailer #1 (2013) - Joseph Gordon-Levitt, Scarlett Johansson Movie HD";"6615kYTpOSU";2013;6.6;2.35;"Comedy|Drama|Romance";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"The Tourist";"The Accidental Tourist (1988) Official Trailer - William Hurt, Kathleen Turner Movie HD";"6AXMgXRJuhw";2010;6;2.35;"Action|Romance|Thriller";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"Wayne's World";"Wayne's World - Trailer";"6GG57RgEBD8";1992;7;1.85;"Comedy|Music";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"The Pursuit of Happyness";"Watch the Trailer for Hancock";"6iFcGNOWnA8";2006;8;2.35;"Biography|Drama";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Almost Famous";"Almost Famous - Trailer";"6iyp0qcf7-w";2000;7.9;1.85;"Adventure|Comedy|Drama|Music";0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"Argo";"Argo International Trailer #1 (2012) - Ben Affleck Movie HD";"6jP5LYTcfMk";2012;7.7;2.35;"Biography|Drama|History|Thriller";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
"Skyfall";"SKYFALL - Official Trailer";"6kw1UVovByw";2012;7.8;2.35;"Action|Adventure|Thriller";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Beowulf";"Beowulf - Trailer";"6LETvY2mdls";2007;6.3;2.35;"Action|Adventure|Animation|Fantasy";1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"The Woman in Black";"The Woman in Black 2 Angel of Death Official Trailer #2 (2015) - Jeremy Irvine Horror Movie HD";"6lywwh2uBrM";2012;6.4;2.35;"Drama|Fantasy|Horror|Thriller";0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0
"The Day the Earth Stood Still";"Day the Earth Stood Still | Movie Trailer | 20th Century FOX";"6QFcZohER3s";2008;5.5;2.35;"Drama|Sci-Fi|Thriller";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"Noah";"Noah Official Trailer #1 (2014) - Russell Crowe, Emma Watson Movie HD";"6qmj5mhDwJQ";2014;5.8;1.85;"Action|Adventure|Drama";1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"The Assassination of Jesse James by the Coward Robert Ford";"The Assassination of Jesse James by the Coward Robert Ford (2007) Official Trailer #1 HD";"6RwAWZtK5Uw";2007;7.5;2.35;"Biography|Crime|Drama|History|Western";0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
"L.A. Confidential";"LA Confidential (1997) Official Trailer - Kevin Spacey, Guy Pearce Movie HD";"6sOXrY5yV4g";1997;8.3;2.35;"Crime|Drama|Mystery|Thriller";0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
"There's Something About Mary";"There's Something About Mary Trailer 1998";"6WAU5FKPM8A";1998;7.1;1.85;"Comedy|Romance";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"This Is the End";"This is the End Green Band Trailer #2 (2013) - James Franco, Seth Rogen Movie HD";"6z5Wykasdls";2013;6.7;2.35;"Comedy|Fantasy";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Catch Me If You Can";"Catch Me If You Can - Trailer";"71rDQ7z4eFg";2002;8;1.85;"Biography|Crime|Drama";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Safety Not Guaranteed";"Safety Not Guaranteed Official Trailer #1 - Aubrey Plaza, Mark Duplass Movie (2012) HD";"73jSnAs7mq8";2012;7;2.35;"Comedy|Drama|Romance";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Saw III";"Saw III (2006) Official Trailer # 1 - Tobin Bell HD";"76K0UGvkqYU";2006;6.2;1.85;"Horror|Mystery";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"Aliens";"Monsters Vs. Aliens - Trailer";"76XkslTbkjU";1986;8.4;1.85;"Action|Adventure|Sci-Fi";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Monsters vs. Aliens";"Monsters Vs. Aliens - Trailer";"76XkslTbkjU";2009;6.5;2.35;"Action|Adventure|Animation|Comedy|Family|Sci-Fi";1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"The Mask";"The Mask Trailer 1994";"79Yjf4XIsEE";1994;6.9;1.85;"Action|Comedy|Crime|Fantasy";1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"The Cable Guy";"The Cable Guy Trailer 1996";"7ABNPF4sAy8";1996;6;2.35;"Comedy|Drama|Thriller";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"Mama";"Mama Official Trailer #1 (2012) - Guillermo Del Toro Horror Movie HD";"7Am7i7uM9r0";2013;6.2;1.85;"Fantasy|Horror";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"Beverly Hills Cop";"Beverly Hills Cop - Trailer";"7aYmBrXyISA";1984;7.3;1.85;"Action|Comedy|Crime";1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Milk";"Milk - Trailer";"7F7lUIapVz8";2008;7.6;1.85;"Biography|Drama|History";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"Green Lantern";"Green Lantern - Trailer";"7-GO9fo9DtM";2011;5.6;2.35;"Action|Adventure|Sci-Fi";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Rise of the Planet of the Apes";"Rise of the Planet of the Apes (2011) Super Trailer HD";"7n8XTBVGLD8";2011;7.6;2.35;"Action|Drama|Sci-Fi|Thriller";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"The Adventures of Tintin";"The Adventures of Tintin - trailer";"7NWtW699XME";2011;7.4;2.35;"Action|Adventure|Family|Mystery";1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"One Day";"One Day (2011) Featurette Trailer - HD";"7qJI74FuqPA";2011;7;2.35;"Drama|Romance";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
